Unnamed: 0,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,travel_class,duration,days_left,price
63201,Indigo,6E-5343,Mumbai,Night,zero,Late_Night,Kolkata,Economy,2.5,12,7413
63206,AirAsia,I5-336,Mumbai,Night,one,Late_Night,Kolkata,Economy,5.42,12,7411
63213,AirAsia,I5-942,Mumbai,Afternoon,two_or_more,Late_Night,Kolkata,Economy,12.5,12,7411
63280,Indigo,6E-5376,Mumbai,Late_Night,one,Morning,Kolkata,Economy,8.33,12,9671
63294,Indigo,6E-5392,Mumbai,Evening,one,Late_Night,Kolkata,Economy,6.67,12,9828
63300,Indigo,6E-331,Mumbai,Evening,one,Late_Night,Kolkata,Economy,5.33,12,9955
63301,Indigo,6.00E-236,Mumbai,Evening,one,Late_Night,Kolkata,Economy,7.0,12,9955
63304,Indigo,6E-5386,Mumbai,Evening,one,Late_Night,Kolkata,Economy,4.92,12,10038
63387,Indigo,6E-5343,Mumbai,Night,zero,Late_Night,Kolkata,Economy,2.5,13,7413
63393,AirAsia,I5-336,Mumbai,Night,one,Late_Night,Kolkata,Economy,5.42,13,7411
63398,AirAsia,I5-423,Mumbai,Afternoon,two_or_more,Late_Night,Kolkata,Economy,10.67,13,7411
63401,AirAsia,I5-942,Mumbai,Afternoon,two_or_more,Late_Night,Kolkata,Economy,12.5,13,7411
63470,Indigo,6E-5376,Mumbai,Late_Night,one,Morning,Kolkata,Economy,8.33,13,9671
63482,Indigo,6E-5316,Mumbai,Late_Night,one,Morning,Kolkata,Economy,8.0,13,9955
63566,Indigo,6E-6088,Mumbai,Night,zero,Late_Night,Kolkata,Economy,2.42,14,7413
63567,Indigo,6E-5343,Mumbai,Night,zero,Late_Night,Kolkata,Economy,2.5,14,7413
63571,AirAsia,I5-336,Mumbai,Night,one,Late_Night,Kolkata,Economy,5.42,14,7411
63576,AirAsia,I5-423,Mumbai,Afternoon,two_or_more,Late_Night,Kolkata,Economy,10.67,14,7411
63579,AirAsia,I5-942,Mumbai,Afternoon,two_or_more,Late_Night,Kolkata,Economy,12.5,14,7411
63645,Indigo,6E-5376,Mumbai,Late_Night,one,Morning,Kolkata,Economy,8.33,14,9671
63658,Indigo,6E-331,Mumbai,Evening,one,Late_Night,Kolkata,Economy,5.33,14,10458
63659,Indigo,6.00E-236,Mumbai,Evening,one,Late_Night,Kolkata,Economy,7.0,14,10616
63681,Indigo,6E-5386,Mumbai,Evening,one,Late_Night,Kolkata,Economy,4.92,14,10983
63682,Indigo,6E-5392,Mumbai,Evening,one,Late_Night,Kolkata,Economy,6.67,14,10983
63689,Indigo,6E-6004,Mumbai,Evening,one,Late_Night,Kolkata,Economy,6.08,14,11346
63690,Indigo,6E-416,Mumbai,Evening,one,Late_Night,Kolkata,Economy,7.33,14,11346
63752,Indigo,6E-5343,Mumbai,Night,zero,Late_Night,Kolkata,Economy,2.5,15,7413
63753,AirAsia,I5-336,Mumbai,Night,one,Late_Night,Kolkata,Economy,5.42,15,7411
63758,AirAsia,I5-423,Mumbai,Afternoon,two_or_more,Late_Night,Kolkata,Economy,10.67,15,7411
63761,AirAsia,I5-942,Mumbai,Afternoon,two_or_more,Late_Night,Kolkata,Economy,12.5,15,7411
63937,AirAsia,I5-336,Mumbai,Night,one,Late_Night,Kolkata,Economy,5.42,16,2836
