Unnamed: 0,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,travel_class,duration,price
33055,Vistara,UK-829,Delhi,Early_Morning,zero,Morning,Hyderabad,Economy,2.17,2465
33056,Vistara,UK-871,Delhi,Night,zero,Night,Hyderabad,Economy,2.33,2465
33057,Air_India,AI-839,Delhi,Night,zero,Night,Hyderabad,Economy,2.17,2518
33058,AirAsia,I5-783,Delhi,Early_Morning,two_or_more,Afternoon,Hyderabad,Economy,8.42,2977
33059,AirAsia,I5-787,Delhi,Early_Morning,two_or_more,Afternoon,Hyderabad,Economy,9.83,2977
33060,Indigo,6E-967,Delhi,Evening,zero,Evening,Hyderabad,Economy,2.25,3013
33061,Indigo,6E-6205,Delhi,Afternoon,zero,Afternoon,Hyderabad,Economy,2.33,3013
33062,Indigo,6E-2348,Delhi,Evening,zero,Night,Hyderabad,Economy,2.33,3013
33063,Indigo,6E-2247,Delhi,Morning,zero,Afternoon,Hyderabad,Economy,2.17,3433
33064,Indigo,6E-2005,Delhi,Morning,zero,Morning,Hyderabad,Economy,2.25,3433
33065,Indigo,6E-2147,Delhi,Night,zero,Night,Hyderabad,Economy,2.25,3433
33066,Indigo,6E-788,Delhi,Afternoon,one,Evening,Hyderabad,Economy,3.92,3457
33067,Indigo,6E-2843,Delhi,Afternoon,one,Night,Hyderabad,Economy,5.58,3457
33068,Indigo,6E-2083,Delhi,Early_Morning,one,Afternoon,Hyderabad,Economy,7.17,3457
33069,Indigo,6E-2618,Delhi,Afternoon,one,Night,Hyderabad,Economy,7.58,3457
33070,Indigo,6E-358,Delhi,Morning,one,Evening,Hyderabad,Economy,7.75,3457
33071,Indigo,6E-6187,Delhi,Afternoon,one,Night,Hyderabad,Economy,8.08,3457
33072,Indigo,6E-397,Delhi,Afternoon,one,Night,Hyderabad,Economy,8.75,3457
33073,Indigo,6E-369,Delhi,Night,one,Early_Morning,Hyderabad,Economy,9.08,3457
33074,Indigo,6E-2076,Delhi,Early_Morning,one,Evening,Hyderabad,Economy,10.0,3457
33075,Indigo,6E-2102,Delhi,Early_Morning,one,Evening,Hyderabad,Economy,10.25,3457
33076,GO_FIRST,G8-422,Delhi,Night,zero,Night,Hyderabad,Economy,2.25,3715
33077,AirAsia,I5-713,Delhi,Evening,one,Night,Hyderabad,Economy,3.83,3986
33078,Air_India,AI-423,Delhi,Early_Morning,one,Night,Hyderabad,Economy,16.42,3994
33079,Air_India,AI-764,Delhi,Evening,one,Night,Hyderabad,Economy,28.33,3994
33080,Air_India,AI-540,Delhi,Night,one,Morning,Hyderabad,Economy,13.25,4181
33081,Air_India,AI-537,Delhi,Evening,one,Morning,Hyderabad,Economy,17.67,4181
33082,Air_India,AI-429,Delhi,Morning,one,Morning,Hyderabad,Economy,24.08,4181
33083,GO_FIRST,G8-211,Delhi,Morning,one,Afternoon,Hyderabad,Economy,6.5,4186
33084,GO_FIRST,G8-2509,Delhi,Early_Morning,one,Afternoon,Hyderabad,Economy,9.5,4186
