,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,travel_class,duration,days_left,price
1,GO_FIRST,G8-1404,Delhi,Morning,one,Evening,Mumbai,Economy,7.08,8,13699
2,Air_India,AI-401,Delhi,Early_Morning,one,Night,Mumbai,Economy,13.25,8,13830
3,Vistara,UK-839,Delhi,Afternoon,one,Night,Mumbai,Economy,9.08,8,14565
4,Vistara,UK-833,Delhi,Early_Morning,one,Night,Mumbai,Economy,15.42,8,14565
5,AirAsia,I5-721,Delhi,Night,one,Early_Morning,Mumbai,Economy,10.5,8,14670
6,Vistara,UK-835,Delhi,Evening,one,Morning,Mumbai,Economy,15.75,8,14985
7,Air_India,AI-465,Delhi,Evening,one,Night,Mumbai,Economy,6.25,8,14670
8,Air_India,AI-512,Delhi,Afternoon,one,Night,Mumbai,Economy,8.92,8,14670
9,Vistara,UK-837,Delhi,Evening,one,Morning,Mumbai,Economy,15.58,8,15300
10,Vistara,UK-705,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,5.5,8,15405
11,GO_FIRST,G8-286,Delhi,Morning,one,Evening,Mumbai,Economy,7.5,8,15405
12,GO_FIRST,G8-286,Delhi,Morning,one,Evening,Mumbai,Economy,8.83,8,15405
13,Air_India,AI-429,Delhi,Morning,one,Afternoon,Mumbai,Economy,30.08,8,15405
14,Air_India,AI-475,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,24.58,8,15973
15,Air_India,AI-762,Delhi,Night,one,Night,Mumbai,Economy,23.83,8,16035
16,Air_India,AI-764,Delhi,Evening,one,Night,Mumbai,Economy,27.17,8,16035
17,Vistara,UK-705,Delhi,Early_Morning,one,Night,Mumbai,Economy,12.83,8,16455
18,Air_India,AI-801,Delhi,Evening,one,Night,Mumbai,Economy,29.33,8,16245
19,Vistara,UK-747,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,6.5,8,16665
20,Air_India,AI-9643,Delhi,Evening,one,Afternoon,Mumbai,Economy,20.83,8,17295
21,Vistara,UK-747,Delhi,Early_Morning,one,Night,Mumbai,Economy,13.83,8,17715
22,Air_India,AI-767,Delhi,Afternoon,one,Night,Mumbai,Economy,7.92,8,17400
23,Air_India,AI-839,Delhi,Night,one,Night,Mumbai,Economy,26.5,8,17505
