,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,travel_class,duration,days_left,price
404,Vistara,UK-951,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.17,4,5955
405,Vistara,UK-933,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.17,4,5955
406,Vistara,UK-985,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,4,5955
407,Vistara,UK-995,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.25,4,5955
408,Vistara,UK-977,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,4,5955
409,Vistara,UK-945,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.33,4,5955
410,Vistara,UK-955,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,4,5955
411,Vistara,UK-927,Delhi,Morning,zero,Morning,Mumbai,Economy,2.08,4,6060
412,Vistara,UK-953,Delhi,Night,zero,Night,Mumbai,Economy,2.17,4,6060
413,GO_FIRST,G8-336,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.25,4,5954
414,GO_FIRST,G8-392,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.25,4,5954
415,GO_FIRST,G8-346,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,4,5954
416,GO_FIRST,G8-330,Delhi,Night,zero,Night,Mumbai,Economy,2.25,4,5954
417,GO_FIRST,G8-338,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.33,4,5954
418,GO_FIRST,G8-323,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,4,5954
419,Indigo,6E-2054,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,4,5955
420,Indigo,6E-6202,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.17,4,5955
421,Indigo,6E-2046,Delhi,Evening,zero,Evening,Mumbai,Economy,2.17,4,5955
422,Indigo,6E-5041,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,4,5955
423,SpiceJet,SG-8803,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,4,5955
424,Indigo,6.00E-218,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.25,4,5955
425,Indigo,6E-549,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.25,4,5955
426,Indigo,6E-6722,Delhi,Night,zero,Night,Mumbai,Economy,2.25,4,5955
427,Indigo,6E-6278,Delhi,Morning,zero,Morning,Mumbai,Economy,2.33,4,5955
428,Indigo,6E-5328,Delhi,Morning,zero,Morning,Mumbai,Economy,2.5,4,5955
429,Air_India,AI-868,Delhi,Evening,zero,Evening,Mumbai,Economy,2,4,5955
430,Air_India,AI-887,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.08,4,5955
431,Air_India,AI-665,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,4,5955
432,Air_India,AI-805,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,4,5955
433,Air_India,AI-678,Delhi,Morning,zero,Morning,Mumbai,Economy,2.25,4,5955
434,Air_India,AI-624,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,4,5955
435,AirAsia,I5-784,Delhi,Evening,one,Early_Morning,Mumbai,Economy,15.17,4,5949
436,GO_FIRST,G8-1010,Delhi,Afternoon,one,Evening,Mumbai,Economy,5.83,4,5954
437,GO_FIRST,G8-191,Delhi,Morning,one,Evening,Mumbai,Economy,8.92,4,5954
438,GO_FIRST,G8-237,Delhi,Afternoon,one,Night,Mumbai,Economy,9.25,4,5954
439,GO_FIRST,G8-266,Delhi,Early_Morning,one,Evening,Mumbai,Economy,11.75,4,5954
440,GO_FIRST,G8-103,Delhi,Evening,one,Early_Morning,Mumbai,Economy,12.33,4,5954
441,GO_FIRST,G8-119,Delhi,Evening,one,Morning,Mumbai,Economy,15.17,4,5954
442,GO_FIRST,G8-113,Delhi,Early_Morning,one,Night,Mumbai,Economy,15.75,4,5954
443,Air_India,AI-441,Delhi,Evening,one,Night,Mumbai,Economy,3.75,4,5955
444,SpiceJet,SG-2976,Delhi,Evening,one,Night,Mumbai,Economy,4.5,4,5955
445,Indigo,6E-2022,Delhi,Early_Morning,one,Evening,Mumbai,Economy,10.25,4,5955
446,Indigo,6E-5018,Delhi,Afternoon,one,Night,Mumbai,Economy,10.33,4,5955
447,Indigo,6E-369,Delhi,Night,one,Morning,Mumbai,Economy,10.42,4,5955
448,SpiceJet,SG-2976,Delhi,Evening,one,Morning,Mumbai,Economy,15.25,4,5955
449,SpiceJet,SG-2277,Delhi,Afternoon,one,Evening,Mumbai,Economy,25.75,4,5955
450,AirAsia,I5-764,Delhi,Early_Morning,zero,Early_Morning,Mumbai,Economy,2.17,4,6139
451,Indigo,6E-5001,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,4,6165
452,SpiceJet,SG-8483,Delhi,Evening,one,Early_Morning,Mumbai,Economy,13.25,4,6270
453,Vistara,UK-963,Delhi,Morning,zero,Morning,Mumbai,Economy,2.33,4,6690
454,Indigo,6E-2092,Delhi,Evening,one,Night,Mumbai,Economy,5.33,4,6443
455,GO_FIRST,G8-334,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,4,6532
456,Indigo,6E-607,Delhi,Night,one,Morning,Mumbai,Economy,10.17,4,6932
457,Indigo,6E-2193,Delhi,Afternoon,one,Evening,Mumbai,Economy,3.83,4,7420
458,Indigo,6.00E-152,Delhi,Morning,one,Evening,Mumbai,Economy,7.67,4,7420
459,Indigo,6E-2193,Delhi,Afternoon,one,Night,Mumbai,Economy,8.33,4,7420
460,Air_India,AI-435,Delhi,Early_Morning,one,Night,Mumbai,Economy,17.5,4,8413
461,Vistara,UK-637,Delhi,Evening,one,Morning,Mumbai,Economy,18.33,4,9000
462,Vistara,UK-706,Delhi,Afternoon,one,Morning,Mumbai,Economy,21.83,4,9000
463,Air_India,AI-9643,Delhi,Evening,one,Afternoon,Mumbai,Economy,20.83,4,8790
464,Air_India,AI-499,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,26.83,4,8790
465,GO_FIRST,G8-719,Delhi,Early_Morning,one,Night,Mumbai,Economy,14.25,4,8869
466,Indigo,6E-2338,Delhi,Afternoon,one,Night,Mumbai,Economy,8,4,8885
467,Air_India,AI-9887,Delhi,Early_Morning,one,Night,Mumbai,Economy,15.17,4,9000
468,Air_India,AI-469,Delhi,Early_Morning,one,Night,Mumbai,Economy,17.83,4,9000
469,GO_FIRST,G8-717,Delhi,Evening,one,Night,Mumbai,Economy,4.75,4,9447
470,Vistara,UK-899,Delhi,Afternoon,one,Night,Mumbai,Economy,8.25,4,9840
471,Vistara,UK-859,Delhi,Morning,one,Night,Mumbai,Economy,12.58,4,9840
472,Vistara,UK-871,Delhi,Night,one,Morning,Mumbai,Economy,13.42,4,9840
473,Vistara,UK-871,Delhi,Night,one,Afternoon,Mumbai,Economy,17.92,4,9840
474,Vistara,UK-899,Delhi,Afternoon,one,Morning,Mumbai,Economy,19.25,4,9840
475,Vistara,UK-859,Delhi,Morning,one,Morning,Mumbai,Economy,23.58,4,9840
476,Vistara,UK-899,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,23.75,4,9840
477,Vistara,UK-871,Delhi,Night,one,Night,Mumbai,Economy,26.42,4,9840
478,Air_India,AI-9843,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,9.75,4,9525
479,Indigo,6E-2373,Delhi,Afternoon,one,Evening,Mumbai,Economy,6,4,9788
480,Air_India,AI-483,Delhi,Evening,one,Evening,Mumbai,Economy,23.92,4,9905
481,Air_India,AI-475,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,24.58,4,9988
482,Vistara,UK-637,Delhi,Evening,one,Night,Mumbai,Economy,4.42,4,10575
483,Vistara,UK-879,Delhi,Evening,one,Night,Mumbai,Economy,5.33,4,10575
484,Vistara,UK-706,Delhi,Afternoon,one,Night,Mumbai,Economy,7.92,4,10575
485,Vistara,UK-879,Delhi,Evening,one,Morning,Mumbai,Economy,16.33,4,10575
486,Vistara,UK-879,Delhi,Evening,one,Afternoon,Mumbai,Economy,20.83,4,10575
487,Air_India,AI-531,Delhi,Evening,one,Night,Mumbai,Economy,24.75,4,10260
488,Indigo,6E-2168,Delhi,Evening,one,Night,Mumbai,Economy,4.42,4,10349
489,Indigo,6.00E-184,Delhi,Morning,one,Afternoon,Mumbai,Economy,4.17,4,10523
490,GO_FIRST,G8-1404,Delhi,Morning,one,Evening,Mumbai,Economy,7.08,4,10549
491,GO_FIRST,G8-165,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,8,4,10575
492,Air_India,AI-473,Delhi,Evening,one,Evening,Mumbai,Economy,22.75,4,10680
493,Vistara,UK-855,Delhi,Evening,one,Afternoon,Mumbai,Economy,20.08,4,11205
494,Vistara,UK-627,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,26.67,4,11573
495,Vistara,UK-847,Delhi,Morning,one,Afternoon,Mumbai,Economy,27.58,4,11625
496,GO_FIRST,G8-357,Delhi,Early_Morning,two_or_more,Evening,Mumbai,Economy,12.08,4,11295
497,GO_FIRST,G8-213,Delhi,Morning,one,Evening,Mumbai,Economy,6.33,4,11609
498,Vistara,UK-673,Delhi,Afternoon,one,Evening,Mumbai,Economy,5,4,12150
499,Vistara,UK-817,Delhi,Evening,one,Night,Mumbai,Economy,5.75,4,12150
500,Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,6,4,12150
501,Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,7.58,4,12150
502,Vistara,UK-801,Delhi,Morning,one,Night,Mumbai,Economy,11.17,4,12150
503,Vistara,UK-815,Delhi,Morning,one,Night,Mumbai,Economy,12.17,4,12150
504,Vistara,UK-809,Delhi,Evening,one,Morning,Mumbai,Economy,12.42,4,12150
