Unnamed: 0,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,travel_class,duration,days_left,price
1,Air_India,AI-453,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,10.08,12,11900
2,Vistara,UK-859,Delhi,Morning,one,Night,Mumbai,Economy,12.58,2,12308
3,Vistara,UK-637,Delhi,Evening,one,Night,Mumbai,Economy,4.42,2,12570
4,Vistara,UK-801,Delhi,Morning,one,Morning,Mumbai,Economy,23.17,2,12570
5,Vistara,UK-829,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,7.0,2,12623
6,Vistara,UK-899,Delhi,Afternoon,one,Night,Mumbai,Economy,8.25,2,12623
7,Vistara,UK-829,Delhi,Early_Morning,one,Night,Mumbai,Economy,15.5,2,12623
8,Air_India,AI-9857,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,7.25,2,12298
9,Indigo,6E-607,Delhi,Night,one,Morning,Mumbai,Economy,10.17,2,12302
10,Air_India,AI-504,Delhi,Night,one,Night,Mumbai,Economy,23.5,2,12465
11,Vistara,UK-819,Delhi,Afternoon,one,Morning,Mumbai,Economy,18.0,2,12990
13,SpiceJet,SG-2277,Delhi,Afternoon,one,Evening,Mumbai,Economy,25.75,2,12850
14,Air_India,AI-540,Delhi,Night,one,Morning,Mumbai,Economy,11.42,2,12990
15,Air_India,AI-885,Delhi,Morning,one,Night,Mumbai,Economy,11.5,2,12990
16,Air_India,AI-762,Delhi,Night,one,Afternoon,Mumbai,Economy,16.17,2,12990
17,Air_India,AI-764,Delhi,Evening,one,Afternoon,Mumbai,Economy,19.5,2,12990
18,Air_India,AI-885,Delhi,Morning,one,Morning,Mumbai,Economy,21.42,2,12990
19,GO_FIRST,G8-719,Delhi,Early_Morning,one,Night,Mumbai,Economy,14.25,2,13069
20,GO_FIRST,G8-188,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,7.75,2,13321
21,Vistara,UK-879,Delhi,Evening,one,Night,Mumbai,Economy,5.33,2,13673
22,Vistara,UK-737,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,21.08,2,13830
23,Vistara,UK-817,Delhi,Evening,one,Night,Mumbai,Economy,5.75,2,14093
24,Vistara,UK-815,Delhi,Morning,one,Night,Mumbai,Economy,12.17,2,14093
25,Vistara,UK-815,Delhi,Morning,one,Night,Mumbai,Economy,13.75,2,14093
26,Air_India,AI-537,Delhi,Evening,one,Morning,Mumbai,Economy,15.83,2,13830
27,GO_FIRST,G8-266,Delhi,Early_Morning,one,Evening,Mumbai,Economy,11.75,2,14129
28,Vistara,UK-801,Delhi,Morning,one,Night,Mumbai,Economy,11.17,2,14513
29,Vistara,UK-801,Delhi,Morning,one,Night,Mumbai,Economy,12.75,2,14513
30,Air_India,AI-885,Delhi,Morning,one,Evening,Mumbai,Economy,5.67,2,14250
31,GO_FIRST,G8-119,Delhi,Evening,one,Morning,Mumbai,Economy,15.17,2,14409
32,GO_FIRST,G8-717,Delhi,Evening,one,Night,Mumbai,Economy,4.75,2,14487
33,Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,6.0,2,14933
34,Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,7.58,2,14933
35,Vistara,UK-706,Delhi,Afternoon,one,Night,Mumbai,Economy,7.92,2,15038
36,Vistara,UK-809,Delhi,Evening,one,Morning,Mumbai,Economy,15.58,2,15353
37,Vistara,UK-813,Delhi,Evening,one,Morning,Mumbai,Economy,17.83,2,15353
38,Vistara,UK-817,Delhi,Evening,one,Morning,Mumbai,Economy,19.33,2,15353
39,Vistara,UK-809,Delhi,Evening,one,Night,Mumbai,Economy,26.0,2,15353
40,Vistara,UK-813,Delhi,Evening,one,Night,Mumbai,Economy,28.25,2,15353
41,GO_FIRST,G8-1404,Delhi,Morning,one,Evening,Mumbai,Economy,7.08,2,15117
42,Air_India,AI-439,Delhi,Early_Morning,one,Morning,Mumbai,Economy,26.0,2,15195
43,Indigo,6E-2102,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,5.08,2,15232
44,Air_India,AI-465,Delhi,Evening,one,Night,Mumbai,Economy,6.25,2,15510
45,Indigo,6.00E-184,Delhi,Morning,one,Afternoon,Mumbai,Economy,4.17,2,15720
46,SpiceJet,SG-3002,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.25,2,15720
47,Indigo,6E-5018,Delhi,Afternoon,one,Night,Mumbai,Economy,10.33,2,15720
48,Air_India,AI-401,Delhi,Early_Morning,one,Night,Mumbai,Economy,13.25,2,16035
49,Vistara,UK-839,Delhi,Afternoon,one,Night,Mumbai,Economy,9.08,2,16560
50,Vistara,UK-833,Delhi,Early_Morning,one,Night,Mumbai,Economy,15.42,2,16560
51,GO_FIRST,G8-165,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,8.0,2,16823
52,Vistara,UK-809,Delhi,Evening,one,Night,Mumbai,Economy,24.42,2,17348
53,Vistara,UK-813,Delhi,Evening,one,Night,Mumbai,Economy,26.67,2,17348
54,GO_FIRST,G8-237,Delhi,Afternoon,one,Night,Mumbai,Economy,9.25,2,17136
55,Air_India,AI-762,Delhi,Night,one,Night,Mumbai,Economy,23.83,2,18135
