airline,flight,source_city,departure_time,stops,arrival_time,destination_city,travel_class,duration,days_left,price
Air_India,AI-635,Mumbai,Early_Morning,one,Late_Night,Bangalore,Economy,17.08,9,9201
Air_India,AI-864,Mumbai,Early_Morning,one,Late_Night,Bangalore,Economy,17.17,9,9201
Air_India,AI-442,Mumbai,Afternoon,one,Morning,Bangalore,Economy,17.33,9,9201
Air_India,AI-809,Mumbai,Morning,one,Morning,Bangalore,Economy,22.92,9,9201
Air_India,AI-806,Mumbai,Early_Morning,one,Morning,Bangalore,Economy,24.92,9,9201
Air_India,AI-635,Mumbai,Early_Morning,one,Morning,Bangalore,Economy,25.83,9,9201
Air_India,AI-864,Mumbai,Early_Morning,one,Morning,Bangalore,Economy,25.92,9,9201
Air_India,AI-867,Mumbai,Night,one,Late_Night,Bangalore,Economy,26.67,9,9201
Air_India,AI-888,Mumbai,Evening,one,Late_Night,Bangalore,Economy,29.17,9,9201
Indigo,6E-354,Mumbai,Afternoon,one,Evening,Bangalore,Economy,6,9,9214
Indigo,6E-6258,Mumbai,Morning,one,Evening,Bangalore,Economy,6.42,9,9214
Indigo,6E-5308,Mumbai,Afternoon,one,Night,Bangalore,Economy,6.75,9,9214
Indigo,6E-5312,Mumbai,Morning,one,Evening,Bangalore,Economy,8,9,9214
Air_India,AI-681,Mumbai,Evening,one,Evening,Bangalore,Economy,24.75,9,9356
SpiceJet,SG-455,Mumbai,Afternoon,one,Morning,Bangalore,Economy,17.5,9,10143
Vistara,UK-910,Mumbai,Evening,one,Night,Bangalore,Economy,5.75,9,11129
Vistara,UK-954,Mumbai,Early_Morning,one,Morning,Bangalore,Economy,5.83,9,11129
Vistara,UK-958,Mumbai,Afternoon,one,Evening,Bangalore,Economy,6.42,9,11129
Vistara,UK-960,Mumbai,Morning,one,Evening,Bangalore,Economy,6.92,9,11129
Vistara,UK-902,Mumbai,Afternoon,one,Night,Bangalore,Economy,6.92,9,11129
Vistara,UK-902,Mumbai,Afternoon,one,Night,Bangalore,Economy,7.58,9,11129
Vistara,UK-958,Mumbai,Afternoon,one,Night,Bangalore,Economy,8,9,11129
Vistara,UK-944,Mumbai,Afternoon,one,Night,Bangalore,Economy,8,9,11129
Vistara,UK-960,Mumbai,Morning,one,Night,Bangalore,Economy,8.5,9,11129
Vistara,UK-944,Mumbai,Afternoon,one,Night,Bangalore,Economy,8.67,9,11129
Vistara,UK-930,Mumbai,Early_Morning,one,Evening,Bangalore,Economy,9.5,9,11129
Vistara,UK-986,Mumbai,Night,one,Morning,Bangalore,Economy,9.92,9,11129
Vistara,UK-958,Mumbai,Afternoon,one,Night,Bangalore,Economy,10.25,9,11129
Vistara,UK-960,Mumbai,Morning,one,Night,Bangalore,Economy,10.75,9,11129
Vistara,UK-950,Mumbai,Night,one,Morning,Bangalore,Economy,10.75,9,11129
Vistara,UK-958,Mumbai,Afternoon,one,Night,Bangalore,Economy,10.92,9,11129
Vistara,UK-940,Mumbai,Evening,one,Morning,Bangalore,Economy,15.08,9,11129
Vistara,UK-930,Mumbai,Early_Morning,one,Night,Bangalore,Economy,15.17,9,11129
Vistara,UK-930,Mumbai,Early_Morning,one,Night,Bangalore,Economy,15.83,9,11129
Air_India,AI-683,Mumbai,Night,one,Night,Bangalore,Economy,25.5,9,10826
Air_India,AI-867,Mumbai,Night,one,Afternoon,Bangalore,Economy,16.83,9,11469
Air_India,AI-888,Mumbai,Evening,one,Afternoon,Bangalore,Economy,19.33,9,11469
Air_India,AI-660,Mumbai,Evening,one,Afternoon,Bangalore,Economy,20.33,9,11469
Air_India,AI-660,Mumbai,Evening,one,Afternoon,Bangalore,Economy,20.92,9,11469
Vistara,UK-994,Mumbai,Morning,one,Evening,Bangalore,Economy,6.58,9,11843
Vistara,UK-994,Mumbai,Morning,one,Night,Bangalore,Economy,10,9,11843
Vistara,UK-970,Mumbai,Morning,one,Evening,Bangalore,Economy,10.08,9,11843
Vistara,UK-970,Mumbai,Morning,one,Night,Bangalore,Economy,11.67,9,11843
Vistara,UK-994,Mumbai,Morning,one,Night,Bangalore,Economy,12.25,9,11843
Vistara,UK-994,Mumbai,Morning,one,Night,Bangalore,Economy,12.92,9,11843
Vistara,UK-970,Mumbai,Morning,one,Night,Bangalore,Economy,13.92,9,11843
Vistara,UK-970,Mumbai,Morning,one,Night,Bangalore,Economy,14.58,9,11843
Air_India,AI-809,Mumbai,Morning,one,Evening,Bangalore,Economy,6.25,9,11627
Air_India,AI-806,Mumbai,Early_Morning,one,Evening,Bangalore,Economy,8.25,9,11627
Air_India,AI-635,Mumbai,Early_Morning,one,Evening,Bangalore,Economy,9.17,9,11627
Air_India,AI-864,Mumbai,Early_Morning,one,Evening,Bangalore,Economy,9.25,9,11627
Air_India,AI-809,Mumbai,Morning,one,Night,Bangalore,Economy,10.08,9,11627
Air_India,AI-806,Mumbai,Early_Morning,one,Night,Bangalore,Economy,12.08,9,11627
