Unnamed: 0,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,travel_class,duration,price
234365,Air_India,AI-660,Mumbai,Evening,one,Morning,Kolkata,Business,15.0,49725
234366,Air_India,AI-867,Mumbai,Night,one,Afternoon,Kolkata,Business,15.0,49725
234367,Air_India,AI-635,Mumbai,Early_Morning,one,Night,Kolkata,Business,15.25,
234368,Air_India,AI-687,Mumbai,Afternoon,one,Morning,Kolkata,Business,17.0,49725
234369,Air_India,AI-442,Mumbai,Afternoon,one,Morning,Kolkata,Business,17.42,49725
234370,Air_India,AI-888,Mumbai,Evening,one,Afternoon,Kolkata,Business,17.5,49725
234371,Air_India,AI-660,Mumbai,Evening,one,Afternoon,Kolkata,Business,18.5,49725
234372,Air_India,AI-442,Mumbai,Afternoon,one,Afternoon,Kolkata,Business,20.92,49725
234373,Air_India,AI-867,Mumbai,Night,one,Evening,Kolkata,Business,21.67,49725
234374,Air_India,AI-888,Mumbai,Evening,one,Evening,Kolkata,Business,24.17,49725
234375,Air_India,AI-660,Mumbai,Evening,one,Evening,Kolkata,Business,25.17,49725
234376,Air_India,AI-442,Mumbai,Afternoon,one,Evening,Kolkata,Business,27.58,49725
234377,Vistara,UK-954,Mumbai,Early_Morning,one,Evening,Kolkata,Business,13.58,51405
234378,Vistara,UK-775,Mumbai,Afternoon,zero,Evening,Kolkata,Business,2.83,57084
234379,Vistara,UK-928,Mumbai,Early_Morning,one,Evening,Kolkata,Business,11.58,57565
234380,Vistara,UK-928,Mumbai,Early_Morning,one,Evening,Kolkata,Business,13.08,57565
234381,Vistara,UK-958,Mumbai,Afternoon,one,Evening,Kolkata,Business,5.67,57677
234382,Vistara,UK-653,Mumbai,Early_Morning,one,Evening,Kolkata,Business,13.58,58562
234383,Vistara,UK-651,Mumbai,Evening,one,Evening,Kolkata,Business,27.5,58562
234384,Vistara,UK-653,Mumbai,Early_Morning,one,Morning,Kolkata,Business,26.58,58708
234385,Vistara,UK-653,Mumbai,Early_Morning,one,Morning,Kolkata,Business,27.58,58708
234386,Vistara,UK-651,Mumbai,Evening,one,Night,Kolkata,Business,30.67,58708
234387,Vistara,UK-653,Mumbai,Early_Morning,one,Evening,Kolkata,Business,37.58,58708
234388,Vistara,UK-655,Mumbai,Morning,two_or_more,Evening,Kolkata,Business,8.08,59091
234389,Vistara,UK-958,Mumbai,Afternoon,one,Evening,Kolkata,Business,7.17,59357
234390,Vistara,UK-960,Mumbai,Morning,one,Evening,Kolkata,Business,6.17,62045
234391,Vistara,UK-960,Mumbai,Morning,one,Evening,Kolkata,Business,7.67,62045
234392,Vistara,UK-950,Mumbai,Night,one,Morning,Kolkata,Business,10.67,62045
234393,Vistara,UK-988,Mumbai,Night,one,Morning,Kolkata,Business,11.67,62045
234394,Vistara,UK-950,Mumbai,Night,one,Morning,Kolkata,Business,11.67,62045
234395,Vistara,UK-988,Mumbai,Night,one,Morning,Kolkata,Business,12.67,62045
234396,Vistara,UK-902,Mumbai,Afternoon,one,Morning,Kolkata,Business,16.83,62045
234397,Vistara,UK-902,Mumbai,Afternoon,one,Morning,Kolkata,Business,17.83,62045
234398,Vistara,UK-944,Mumbai,Afternoon,one,Morning,Kolkata,Business,17.92,62045
234399,Vistara,UK-944,Mumbai,Afternoon,one,Morning,Kolkata,Business,18.92,62045
234400,Vistara,UK-988,Mumbai,Night,one,Evening,Kolkata,Business,22.67,62045
234401,Vistara,UK-996,Mumbai,Evening,one,Morning,Kolkata,Business,14.08,64285
234402,Vistara,UK-996,Mumbai,Evening,one,Morning,Kolkata,Business,15.08,64285
234403,Vistara,UK-996,Mumbai,Evening,one,Evening,Kolkata,Business,25.08,64285
234404,Vistara,UK-994,Mumbai,Morning,one,Evening,Kolkata,Business,7.67,69997
234405,Vistara,UK-994,Mumbai,Morning,one,Evening,Kolkata,Business,9.17,69997
234406,Vistara,UK-613,Mumbai,Afternoon,two_or_more,Evening,Kolkata,Business,7.33,70591
234407,Vistara,UK-940,Mumbai,Evening,one,Morning,Kolkata,Business,12.83,72237
234408,Vistara,UK-940,Mumbai,Evening,one,Morning,Kolkata,Business,13.83,72237
234409,Vistara,UK-940,Mumbai,Evening,one,Evening,Kolkata,Business,23.83,72237
234410,Vistara,UK-928,Mumbai,Early_Morning,one,Night,Kolkata,Business,16.25,75485
234411,Vistara,UK-958,Mumbai,Afternoon,one,Night,Kolkata,Business,10.33,75597
234412,Vistara,UK-910,Mumbai,Evening,one,Morning,Kolkata,Business,15.0,not available
234413,Vistara,UK-910,Mumbai,Evening,one,Morning,Kolkata,Business,16.0,79629
234414,Vistara,UK-902,Mumbai,Afternoon,one,Night,Kolkata,Business,7.0,79965
234415,Vistara,UK-944,Mumbai,Afternoon,one,Night,Kolkata,Business,8.08,79965
234416,Vistara,UK-960,Mumbai,Morning,one,Night,Kolkata,Business,10.83,79965
234417,Vistara,UK-653,Mumbai,Early_Morning,one,Night,Kolkata,Business,16.75,82071
234418,Vistara,UK-930,Mumbai,Early_Morning,one,Evening,Kolkata,Business,10.58,82989
234419,Vistara,UK-930,Mumbai,Early_Morning,one,Evening,Kolkata,Business,12.08,82989
234420,Vistara,UK-994,Mumbai,Morning,one,Night,Kolkata,Business,12.33,87917
234421,Vistara,UK-910,Mumbai,Evening,one,Night,Kolkata,Business,5.17,97549
234422,Vistara,UK-930,Mumbai,Early_Morning,one,Night,Kolkata,Business,15.25,100909
234423,Vistara,UK-771,Mumbai,Early_Morning,zero,Morning,Kolkata,Business,2.67,31436
234424,Air_India,AI-774,Mumbai,Night,zero,Night,Kolkata,Business,2.75,31436
234425,Air_India,AI-619,Mumbai,Night,one,Morning,Kolkata,Business,11.83,
234426,Air_India,AI-570,Mumbai,Early_Morning,one,Morning,Kolkata,Business,5.5,43165
234427,Air_India,AI-639,Mumbai,Morning,one,Evening,Kolkata,Business,8.08,45230
234428,Vistara,UK-773,Mumbai,Evening,zero,Evening,Kolkata,Business,2.58,
234429,Vistara,UK-958,Mumbai,Afternoon,one,Night,Kolkata,Business,10.33,49725
234430,Vistara,UK-986,Mumbai,Night,one,Morning,Kolkata,Business,10.83,49725
234431,Air_India,AI-687,Mumbai,Afternoon,one,Night,Kolkata,Business,6.33,49725
234432,Air_India,AI-809,Mumbai,Morning,one,Evening,Kolkata,Business,9.17,49725
234433,Air_India,AI-806,Mumbai,Early_Morning,one,Evening,Kolkata,Business,11.17,49725
234434,Air_India,AI-867,Mumbai,Night,one,Morning,Kolkata,Business,11.5,49725
234435,Air_India,AI-635,Mumbai,Early_Morning,one,Evening,Kolkata,Business,12.08,49725
234436,Air_India,AI-809,Mumbai,Morning,one,Night,Kolkata,Business,12.33,49725
234437,Air_India,AI-888,Mumbai,Evening,one,Morning,Kolkata,Business,14.0,49725
234438,Air_India,AI-806,Mumbai,Early_Morning,one,Night,Kolkata,Business,14.33,49725
234439,Air_India,AI-660,Mumbai,Evening,one,Morning,Kolkata,Business,15.0,49725
234440,Air_India,AI-635,Mumbai,Early_Morning,one,Night,Kolkata,Business,15.25,49725
234441,Air_India,AI-687,Mumbai,Afternoon,one,Morning,Kolkata,Business,17.0,49725
234442,Air_India,AI-867,Mumbai,Night,one,Afternoon,Kolkata,Business,17.0,49725
234443,Air_India,AI-442,Mumbai,Afternoon,one,Morning,Kolkata,Business,17.42,49725
234444,Air_India,AI-888,Mumbai,Evening,one,Afternoon,Kolkata,Business,19.5,49725
234445,Air_India,AI-660,Mumbai,Evening,one,Afternoon,Kolkata,Business,20.5,49725
234446,Air_India,AI-867,Mumbai,Night,one,Evening,Kolkata,Business,21.67,49725
234447,Air_India,AI-442,Mumbai,Afternoon,one,Afternoon,Kolkata,Business,22.92,49725
234448,Air_India,AI-888,Mumbai,Evening,one,Evening,Kolkata,Business,24.17,49725
234449,Air_India,AI-660,Mumbai,Evening,one,Evening,Kolkata,Business,25.17,49725
234450,Air_India,AI-442,Mumbai,Afternoon,one,Evening,Kolkata,Business,27.58,49725
234451,Vistara,UK-986,Mumbai,Night,one,Morning,Kolkata,Business,9.83,50621
234452,Vistara,UK-958,Mumbai,Afternoon,one,Evening,Kolkata,Business,7.17,51405
234453,Vistara,UK-954,Mumbai,Early_Morning,one,Evening,Kolkata,Business,13.58,51405
234454,Vistara,UK-775,Mumbai,Afternoon,zero,Evening,Kolkata,Business,2.83,57084
234455,Vistara,UK-928,Mumbai,Early_Morning,one,Evening,Kolkata,Business,13.08,57565
234456,Vistara,UK-928,Mumbai,Early_Morning,one,Night,Kolkata,Business,16.25,57565
234457,Vistara,UK-994,Mumbai,Morning,one,Evening,Kolkata,Business,9.17,62045
234458,Vistara,UK-950,Mumbai,Night,one,Morning,Kolkata,Business,10.67,62045
234459,Vistara,UK-988,Mumbai,Night,one,Morning,Kolkata,Business,11.67,62045
234460,Vistara,UK-950,Mumbai,Night,one,Morning,Kolkata,Business,11.67,
234461,Vistara,UK-994,Mumbai,Morning,one,Night,Kolkata,Business,12.33,62045
234462,Vistara,UK-988,Mumbai,Night,one,Morning,Kolkata,Business,12.67,62045
234463,Vistara,UK-988,Mumbai,Night,one,Evening,Kolkata,Business,21.17,62045
234464,Vistara,UK-988,Mumbai,Night,one,Evening,Kolkata,Business,22.67,62045
234465,Vistara,UK-930,Mumbai,Early_Morning,one,Evening,Kolkata,Business,12.08,64285
234466,Vistara,UK-940,Mumbai,Evening,one,Morning,Kolkata,Business,12.83,64285
234467,Vistara,UK-940,Mumbai,Evening,one,Morning,Kolkata,Business,13.83,64285
234468,Vistara,UK-996,Mumbai,Evening,one,Morning,Kolkata,Business,14.08,64285
234469,Vistara,UK-996,Mumbai,Evening,one,Morning,Kolkata,Business,15.08,64285
234470,Vistara,UK-930,Mumbai,Early_Morning,one,Night,Kolkata,Business,15.25,64285
234471,Vistara,UK-940,Mumbai,Evening,one,Evening,Kolkata,Business,22.33,64285
234472,Vistara,UK-902,Mumbai,Afternoon,one,Night,Kolkata,Business,7.0,69997
234473,Vistara,UK-960,Mumbai,Morning,one,Evening,Kolkata,Business,7.67,69997
234474,Vistara,UK-944,Mumbai,Afternoon,one,Night,Kolkata,Business,8.08,69997
234475,Vistara,UK-960,Mumbai,Morning,one,Night,Kolkata,Business,10.83,69997
234476,Vistara,UK-902,Mumbai,Afternoon,one,Morning,Kolkata,Business,16.83,69997
234477,Vistara,UK-902,Mumbai,Afternoon,one,Morning,Kolkata,Business,17.83,69997
234478,Vistara,UK-944,Mumbai,Afternoon,one,Morning,Kolkata,Business,17.92,69997
234479,Vistara,UK-944,Mumbai,Afternoon,one,Morning,Kolkata,12345,18.92,69997
234480,Vistara,UK-653,Mumbai,Early_Morning,one,Evening,Kolkata,Business,13.58,72192
234481,Vistara,UK-653,Mumbai,Early_Morning,one,Night,Kolkata,Business,16.75,72338
234482,Vistara,UK-653,Mumbai,Early_Morning,one,Morning,Kolkata,Business,26.58,72338
234483,Vistara,UK-653,Mumbai,Early_Morning,one,Morning,Kolkata,Business,27.58,72338
234484,Vistara,UK-653,Mumbai,Early_Morning,one,Evening,Kolkata,Business,36.08,72338
234485,Vistara,UK-653,Mumbai,Early_Morning,one,Evening,Kolkata,Business,37.58,72338
234486,Vistara,UK-651,Mumbai,Evening,one,Evening,Kolkata,Business,27.5,73581
234487,Vistara,UK-651,Mumbai,Evening,one,Night,Kolkata,Business,30.67,73727
234488,Vistara,UK-910,Mumbai,Evening,one,Night,Kolkata,Business,5.17,74141
234489,Vistara,UK-910,Mumbai,Evening,one,Morning,Kolkata,Business,15.0,74141
234490,Vistara,UK-910,Mumbai,Evening,one,Morning,Kolkata,Business,16.0,74141
234491,Vistara,UK-613,Mumbai,Afternoon,two_or_more,Evening,Kolkata,Business,7.33,75855
234492,Vistara,UK-970,Mumbai,Morning,one,Evening,Kolkata,Business,10.83,82989
234493,Vistara,UK-970,Mumbai,Morning,one,Night,Kolkata,Business,14.0,82989
234494,Vistara,UK-773,Mumbai,Evening,zero,Evening,Kolkata,Business,2.58,31436
234495,Vistara,UK-771,Mumbai,Early_Morning,zero,Morning,Kolkata,Business,2.67,31436
234496,Vistara,UK-775,Mumbai,Afternoon,zero,Evening,Kolkata,Business,2.83,31436
234497,Air_India,AI-774,Mumbai,Night,zero,Night,Kolkata,Business,2.75,31436
234498,Air_India,AI-673,Mumbai,Early_Morning,one,Afternoon,Kolkata,Business,4.25,31436
234499,Air_India,AI-619,Mumbai,Night,one,Morning,Kolkata,Business,11.83,36980
234500,Air_India,AI-570,Mumbai,Early_Morning,one,Afternoon,Kolkata,Business,8.58,43165
234501,Air_India,AI-671,Mumbai,Morning,one,Morning,Kolkata,Business,24.58,43165
234502,Air_India,AI-639,Mumbai,Morning,one,Early_Morning,Kolkata,Business,19.75,45230
234503,Vistara,UK-954,Mumbai,Early_Morning,one,Evening,Kolkata,Business,12.08,49725
