Unnamed: 0,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,travel_class,duration,days_left,price
252389,Vistara,UK-808,Bangalore,Early_Morning,one,Afternoon,Mumbai,Business,6.0,44,61404
252390,Vistara,UK-810,Bangalore,Early_Morning,one,Afternoon,Mumbai,Business,7.0,44,61404
252391,Vistara,UK-814,Bangalore,Night,one,Morning,Mumbai,Business,14.42,44,61404
252392,Vistara,UK-818,Bangalore,Evening,one,Morning,Mumbai,Business,15.92,44,61404
252393,Vistara,UK-802,Bangalore,Evening,one,Morning,Mumbai,Business,16.75,44,61404
252394,Vistara,UK-814,Bangalore,Night,one,Afternoon,Mumbai,Business,16.83,44,61404
252395,Vistara,UK-816,Bangalore,Morning,one,Evening,Mumbai,Business,7.58,44,62524
252396,Vistara,UK-812,Bangalore,Morning,one,Evening,Mumbai,Business,9.33,44,62524
252397,Vistara,UK-808,Bangalore,Early_Morning,one,Evening,Mumbai,Business,11.08,44,62524
252398,Vistara,UK-810,Bangalore,Early_Morning,one,Evening,Mumbai,Business,12.08,44,62524
252399,Vistara,UK-816,Bangalore,Morning,one,Evening,Mumbai,Business,6.17,44,67004
252400,Vistara,UK-808,Bangalore,Early_Morning,one,Afternoon,Mumbai,Business,7.0,44,67004
252401,Vistara,UK-812,Bangalore,Morning,one,Evening,Mumbai,Business,7.92,44,67004
252402,Vistara,UK-810,Bangalore,Early_Morning,one,Afternoon,Mumbai,Business,8.0,44,67004
252403,Vistara,UK-808,Bangalore,Early_Morning,one,Evening,Mumbai,Business,9.67,44,67004
252404,Vistara,UK-810,Bangalore,Early_Morning,one,Evening,Mumbai,Business,10.67,44,67004
252405,Vistara,UK-814,Bangalore,Night,one,Afternoon,Mumbai,Business,15.42,44,67004
252406,Vistara,UK-818,Bangalore,Evening,one,Afternoon,Mumbai,Business,16.92,44,67004
252407,Vistara,UK-816,Bangalore,Morning,one,Night,Mumbai,Business,8.58,44,69244
252408,Vistara,UK-816,Bangalore,Morning,one,Night,Mumbai,12345,9.75,44,69244
252409,Vistara,UK-812,Bangalore,Morning,one,Night,Mumbai,Business,10.33,44,69244
252410,Vistara,UK-812,Bangalore,Morning,one,Night,Mumbai,Business,11.5,44,69244
252411,Vistara,UK-808,Bangalore,Early_Morning,one,Night,Mumbai,Business,12.08,44,69244
252412,Vistara,UK-810,Bangalore,Early_Morning,one,Night,Mumbai,Business,13.08,44,69244
252413,Vistara,UK-808,Bangalore,Early_Morning,one,Night,Mumbai,Business,13.25,44,69244
252414,Vistara,UK-814,Bangalore,Night,one,Morning,Mumbai,Business,14.0,44,69244
252415,Vistara,UK-810,Bangalore,Early_Morning,one,Night,Mumbai,Business,14.25,44,69244
252416,Vistara,UK-818,Bangalore,Evening,one,Morning,Mumbai,Business,15.5,44,69244
252417,Vistara,UK-802,Bangalore,Evening,one,Morning,Mumbai,Business,16.33,44,69244
252418,Vistara,UK-820,Bangalore,Evening,one,Morning,Mumbai,Business,17.33,44,69244
252419,Vistara,UK-816,Bangalore,Morning,one,Night,Mumbai,Business,10.5,44,74844
252420,Vistara,UK-812,Bangalore,Morning,one,Night,Mumbai,Business,12.25,44,74844
252421,Vistara,UK-808,Bangalore,Early_Morning,one,Night,Mumbai,Business,14.0,44,74844
252422,Vistara,UK-810,Bangalore,Early_Morning,one,Night,Mumbai,Business,15.0,44,74844
252423,Vistara,UK-820,Bangalore,Evening,one,Night,Mumbai,Business,6.0,44,74956
252424,Vistara,UK-816,Bangalore,Morning,one,Night,Mumbai,Business,12.33,44,74956
252425,Vistara,UK-812,Bangalore,Morning,one,Night,Mumbai,Business,14.08,44,74956
252426,Vistara,UK-808,Bangalore,Early_Morning,one,Night,Mumbai,Business,15.83,44,74956
252427,Vistara,UK-810,Bangalore,Early_Morning,one,Night,Mumbai,Business,16.83,44,74956
252428,Vistara,UK-858,Bangalore,Early_Morning,zero,Morning,Mumbai,Business,1.58,45,20760
252429,Vistara,UK-864,Bangalore,Evening,zero,Night,Mumbai,Business,1.75,45,20760
