,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,travel_class,duration,days_left,price
1,SpiceJet,SG-1061,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,8,5953
2,SpiceJet,SG-8157,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,8,5953
3,SpiceJet,SG-1063,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,8,5953
4,SpiceJet,SG-8169,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,8,5953
5,Vistara,UK-927,Delhi,Morning,zero,Morning,Mumbai,Economy,2.08,8,5955
6,Vistara,UK-975,Delhi,Early_Morning,zero,Early_Morning,Mumbai,Economy,2.17,8,5955
7,Vistara,UK-993,Delhi,Afternoon,zero,Afternoon,Mumbai,Economy,2.17,8,5955
8,Vistara,UK-951,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.17,8,5955
9,Vistara,UK-933,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.17,8,5955
10,Vistara,UK-953,Delhi,Night,zero,Night,Mumbai,Economy,2.17,8,5955
11,Vistara,UK-943,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,8,5955
12,Vistara,UK-995,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.25,8,5955
13,Vistara,UK-963,Delhi,Morning,zero,Morning,Mumbai,Economy,2.33,8,5955
14,Vistara,UK-945,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.33,8,5955
15,Vistara,UK-941,Delhi,Evening,zero,Evening,Mumbai,Economy,2.33,8,5955
16,Vistara,UK-955,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,8,5955
17,GO_FIRST,G8-392,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.25,8,5954
18,GO_FIRST,G8-346,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,8,5954
19,GO_FIRST,G8-338,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.33,8,5954
20,GO_FIRST,G8-323,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,8,5954
21,Indigo,6E-2054,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,8,5955
22,Indigo,6E-5001,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,8,5955
23,Indigo,6E-2137,Delhi,Night,zero,Late_Night,Mumbai,Economy,2.17,8,5955
24,Indigo,6.00E-218,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.33,8,5955
25,Indigo,6E-5328,Delhi,Morning,zero,Morning,Mumbai,Economy,2.5,8,5955
26,AirAsia,I5-764,Delhi,Early_Morning,zero,Early_Morning,Mumbai,Economy,2.17,8,5956
27,Air_India,AI-868,Delhi,Evening,zero,Evening,Mumbai,Economy,2,8,5955
28,Air_India,AI-887,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.08,8,5955
29,Air_India,AI-665,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,8,5955
30,Air_India,AI-865,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.17,8,5955
31,Air_India,AI-805,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,8,5955
32,Air_India,AI-678,Delhi,Morning,zero,Morning,Mumbai,Economy,2.25,8,5955
33,Air_India,AI-624,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,8,5955
34,GO_FIRST,G8-165,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,8,8,5954
35,GO_FIRST,G8-191,Delhi,Morning,one,Evening,Mumbai,Economy,8.92,8,5954
36,GO_FIRST,G8-237,Delhi,Afternoon,one,Night,Mumbai,Economy,9.25,8,5954
37,GO_FIRST,G8-266,Delhi,Early_Morning,one,Evening,Mumbai,Economy,11.75,8,5954
38,GO_FIRST,G8-103,Delhi,Evening,one,Early_Morning,Mumbai,Economy,12.33,8,5954
39,GO_FIRST,G8-101,Delhi,Early_Morning,one,Night,Mumbai,Economy,14.5,8,5954
40,GO_FIRST,G8-113,Delhi,Early_Morning,one,Night,Mumbai,Economy,15.75,8,5954
41,Air_India,AI-636,Delhi,Afternoon,one,Evening,Mumbai,Economy,3.5,8,5955
42,Air_India,AI-441,Delhi,Evening,one,Night,Mumbai,Economy,3.75,8,5955
43,SpiceJet,SG-2976,Delhi,Evening,one,Night,Mumbai,Economy,4.5,8,5955
44,Indigo,6E-2097,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,7.58,8,5955
