,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
271323,Air_India,AI-770,Kolkata,Night,one,Morning,Hyderabad,Business,14,0,52063
271324,Air_India,AI-770,Kolkata,Night,one,Morning,Hyderabad,Business,15.42,1,52063
271325,Air_India,AI-763,Kolkata,Early_Morning,one,Night,Hyderabad,Business,16.58,2,52063
271326,Air_India,AI-768,Kolkata,Afternoon,one,Morning,Hyderabad,Business,19,3,52063
271327,Air_India,AI-768,Kolkata,Afternoon,one,Morning,Hyderabad,Business,20.42,4,52063
271328,Air_India,AI-770,Kolkata,Night,one,Evening,Hyderabad,Business,22.83,5,52063
271329,Air_India,AI-402,Kolkata,Morning,one,Morning,Hyderabad,Business,24.08,6,52063
271330,Air_India,AI-402,Kolkata,Morning,one,Morning,Hyderabad,Business,25.5,7,52063
271331,Vistara,UK-706,Kolkata,Morning,one,Evening,Hyderabad,Business,6.75,8,58750
271332,Vistara,UK-720,Kolkata,Early_Morning,one,Evening,Hyderabad,Business,9.83,9,58750
271333,Vistara,UK-706,Kolkata,Morning,one,Night,Hyderabad,Business,10.67,10,67497
271334,Vistara,UK-738,Kolkata,Evening,one,Morning,Hyderabad,Business,14.92,11,70095
271335,Vistara,UK-738,Kolkata,Evening,one,Afternoon,Hyderabad,Business,17.83,12,70095
271336,Vistara,UK-738,Kolkata,Evening,one,Evening,Hyderabad,Business,22.25,13,70095
271337,Vistara,UK-738,Kolkata,Evening,one,Evening,Hyderabad,Business,25.17,14,70095
271338,Vistara,UK-738,Kolkata,Evening,one,Night,Hyderabad,Business,28.17,15,70095
271339,Vistara,UK-706,Kolkata,Morning,one,Night,Hyderabad,Business,10.67,16,79817
271340,Vistara,UK-772,Kolkata,Morning,one,Evening,Hyderabad,Business,9.5,17,89729
271341,Air_India,AI-526,Kolkata,Evening,zero,Night,Hyderabad,Business,2.25,0,20356
271342,Air_India,AI-424,Kolkata,Afternoon,one,Afternoon,Hyderabad,Business,22.92,1,29648
271343,Air_India,AI-573,Kolkata,Evening,one,Early_Morning,Hyderabad,Business,13.58,2,37016
271344,Vistara,UK-772,Kolkata,Morning,one,Night,Hyderabad,Business,10.5,3,49207
271345,Vistara,UK-774,Kolkata,Night,one,Early_Morning,Hyderabad,Business,11.25,4,49207
271346,Vistara,UK-776,Kolkata,Evening,one,Early_Morning,Hyderabad,Business,14.25,5,49207
271347,Vistara,UK-774,Kolkata,Night,one,Afternoon,Hyderabad,Business,15.67,6,49207
271348,Vistara,UK-776,Kolkata,Evening,one,Afternoon,Hyderabad,Business,18.67,7,49207
271349,Vistara,UK-772,Kolkata,Morning,one,Early_Morning,Hyderabad,Business,21.42,8,49207
271350,Vistara,UK-774,Kolkata,Night,one,Night,Hyderabad,Business,24.33,9,49207
271351,Vistara,UK-772,Kolkata,Morning,one,Afternoon,Hyderabad,Business,25.83,10,49207
271352,Vistara,UK-776,Kolkata,Evening,one,Night,Hyderabad,Business,27.33,11,49207
271353,Air_India,AI-773,Kolkata,Evening,one,Early_Morning,Hyderabad,Business,14,12,49151
271354,Vistara,UK-720,Kolkata,Early_Morning,one,Afternoon,Hyderabad,Business,5.42,13,52175
271355,Vistara,UK-720,Kolkata,Early_Morning,one,Evening,Hyderabad,Business,9.83,14,52175
271356,Vistara,UK-720,Kolkata,Early_Morning,one,Evening,Hyderabad,Business,12.75,15,52175
271357,Vistara,UK-738,Kolkata,Evening,one,Morning,Hyderabad,Business,14.92,16,52175
271358,Vistara,UK-720,Kolkata,Early_Morning,one,Night,Hyderabad,Business,15.75,17,52175
271359,Vistara,UK-738,Kolkata,Evening,one,Afternoon,Hyderabad,Business,17.83,18,52175
271360,Vistara,UK-738,Kolkata,Evening,one,Evening,Hyderabad,Business,22.25,19,52175
271361,Vistara,UK-738,Kolkata,Evening,one,Evening,Hyderabad,Business,25.17,20,52175
271362,Air_India,AI-768,Kolkata,Afternoon,one,Night,Hyderabad,Business,8.08,21,52063
271363,Air_India,AI-402,Kolkata,Morning,one,Evening,Hyderabad,Business,8.92,22,52063
271364,Air_India,AI-763,Kolkata,Early_Morning,one,Evening,Hyderabad,Business,12.33,23,52063
271365,Air_India,AI-402,Kolkata,Morning,one,Night,Hyderabad,Business,13.17,24,52063
271366,Air_India,AI-770,Kolkata,Night,one,Morning,Hyderabad,Business,14,25,52063
271367,Air_India,AI-770,Kolkata,Night,one,Morning,Hyderabad,Business,15.42,26,52063
271368,Air_India,AI-763,Kolkata,Early_Morning,one,Night,Hyderabad,Business,16.58,27,52063
271369,Air_India,AI-768,Kolkata,Afternoon,one,Morning,Hyderabad,Business,19,28,52063
271370,Air_India,AI-768,Kolkata,Afternoon,one,Morning,Hyderabad,Business,20.42,29,52063
271371,Air_India,AI-424,Kolkata,Afternoon,one,Morning,Hyderabad,Business,21,30,52063
271372,Air_India,AI-424,Kolkata,Afternoon,one,Morning,Hyderabad,Business,22.42,31,52063
271373,Air_India,AI-770,Kolkata,Night,one,Evening,Hyderabad,Business,22.83,32,52063
271374,Air_India,AI-402,Kolkata,Morning,one,Morning,Hyderabad,Business,24.08,33,52063
271375,Air_India,AI-402,Kolkata,Morning,one,Morning,Hyderabad,Business,25.5,34,52063
271376,Air_India,AI-770,Kolkata,Night,one,Night,Hyderabad,Business,27.08,35,52063
271377,Air_India,AI-424,Kolkata,Afternoon,one,Evening,Hyderabad,Business,29.83,36,52063
271378,Vistara,UK-778,Kolkata,Afternoon,one,Night,Hyderabad,Business,7.58,37,53071
271379,Vistara,UK-778,Kolkata,Afternoon,one,Morning,Hyderabad,Business,18.33,38,53071
271380,Vistara,UK-778,Kolkata,Afternoon,one,Afternoon,Hyderabad,Business,21.25,39,53071
271381,Vistara,UK-778,Kolkata,Afternoon,one,Evening,Hyderabad,Business,25.67,40,53071
271382,Vistara,UK-706,Kolkata,Morning,one,Evening,Hyderabad,Business,6.75,41,62255
271383,Vistara,UK-706,Kolkata,Morning,one,Evening,Hyderabad,Business,9.67,42,62255
271384,Vistara,UK-706,Kolkata,Morning,one,Night,Hyderabad,Business,12.67,43,62255
271385,Vistara,UK-706,Kolkata,Morning,one,Morning,Hyderabad,Business,23.42,44,62255
271386,Vistara,UK-706,Kolkata,Morning,one,Night,Hyderabad,Business,10.67,45,77577
271387,Vistara,UK-708,Kolkata,Night,one,Morning,Hyderabad,Business,13.25,46,78943
271388,Vistara,UK-708,Kolkata,Night,one,Afternoon,Hyderabad,Business,16.17,47,78943
271389,Vistara,UK-708,Kolkata,Night,one,Evening,Hyderabad,Business,20.58,48,78943
271390,Vistara,UK-708,Kolkata,Night,one,Evening,Hyderabad,Business,23.5,49,78943
271391,Vistara,UK-772,Kolkata,Morning,one,Night,Hyderabad,Business,12.5,50,89729
271392,Vistara,UK-706,Kolkata,Morning,one,Night,Hyderabad,Business,10.67,51,89897
271393,Vistara,UK-772,Kolkata,Morning,one,Evening,Hyderabad,Business,9.5,52,97681
271394,Vistara,UK-772,Kolkata,Morning,one,Night,Hyderabad,Business,12.5,53,97681
271395,Air_India,AI-526,Kolkata,Evening,zero,Night,Hyderabad,Business,2.25,0,20356
271396,Vistara,UK-772,Kolkata,Morning,one,Night,Hyderabad,Business,10.5,1,49207
271397,Vistara,UK-774,Kolkata,Night,one,Early_Morning,Hyderabad,Business,11.25,2,49207
271398,Vistara,UK-776,Kolkata,Evening,one,Early_Morning,Hyderabad,Business,14.25,3,49207
271399,Vistara,UK-774,Kolkata,Night,one,Afternoon,Hyderabad,Business,15.67,4,49207
271400,Vistara,UK-776,Kolkata,Evening,one,Afternoon,Hyderabad,Business,18.67,5,49207
271401,Vistara,UK-772,Kolkata,Morning,one,Early_Morning,Hyderabad,Business,21.42,6,49207
271402,Vistara,UK-774,Kolkata,Night,one,Night,Hyderabad,Business,24.33,7,49207
271403,Vistara,UK-772,Kolkata,Morning,one,Afternoon,Hyderabad,Business,25.83,8,49207
271404,Vistara,UK-776,Kolkata,Evening,one,Night,Hyderabad,Business,27.33,9,49207
271405,Air_India,AI-732,Kolkata,Afternoon,one,Night,Hyderabad,Business,8.58,10,49151
271406,Vistara,UK-720,Kolkata,Early_Morning,one,Afternoon,Hyderabad,Business,5.42,11,52175
271407,Vistara,UK-706,Kolkata,Morning,one,Evening,Hyderabad,Business,6.75,12,52175
271408,Vistara,UK-706,Kolkata,Morning,one,Evening,Hyderabad,Business,9.67,13,52175
271409,Vistara,UK-720,Kolkata,Early_Morning,one,Evening,Hyderabad,Business,9.83,14,52175
271410,Vistara,UK-706,Kolkata,Morning,one,Night,Hyderabad,Business,12.67,15,52175
271411,Vistara,UK-720,Kolkata,Early_Morning,one,Evening,Hyderabad,Business,12.75,16,52175
271412,Vistara,UK-708,Kolkata,Night,one,Morning,Hyderabad,Business,13.25,17,52175
271413,Vistara,UK-738,Kolkata,Evening,one,Morning,Hyderabad,Business,14.92,18,52175
